Name,G,PTS,TRB,AST,STL,BLK,FG_PCT,3P_PCT,FT_PCT,WS,WS_PerMin,TotalAllStar,FirstAllD,SecondAllD,TotalAllD,FirstAllNBA,SecondAllNBA,ThirdAllNBA,TotalAllNBA,HoF
Richard Jefferson,1181.0,12.6,4.0,2.0,0.7,0.3,0.464,0.376,0.768,83.0,0.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Peja Stojaković,804.0,17.0,4.7,1.8,0.9,0.1,0.45,0.401,0.895,82.6,0.147,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,No
Kevin Willis,1424.0,12.1,8.4,0.9,0.7,0.5,0.487,0.211,0.713,81.8,0.102,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,No
Marcus Camby,973.0,9.5,9.8,1.9,1.0,2.4,0.466,0.205,0.67,81.6,0.137,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,No
Zach Randolph,1116.0,16.6,9.1,1.8,0.7,0.3,0.471,0.273,0.764,81.1,0.112,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,No
Carlos Boozer,861.0,16.2,9.5,2.2,0.9,0.4,0.521,0.071,0.722,80.3,0.143,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,No
Paul Silas,1254.0,9.4,9.9,2.1,0.3,0.1,0.432,0.0,0.673,79.9,0.11,2.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,No
Marques Johnson,691.0,20.1,7.0,3.6,1.3,0.8,0.518,0.152,0.739,79.8,0.162,5.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,No
Larry Foust,817.0,13.7,9.8,1.7,0.0,0.0,0.405,0.0,0.741,79.2,0.174,8.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,No
Tom Chambers,1107.0,18.1,6.1,2.1,0.8,0.6,0.468,0.307,0.807,79.0,0.112,4.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,No
Jimmy Jones,686.0,16.6,4.3,4.5,0.4,0.1,0.509,0.25,0.785,78.8,0.161,6.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,No
Dan Majerle,955.0,11.4,4.5,2.9,1.3,0.4,0.431,0.358,0.741,78.5,0.125,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,No
Cedric Maxwell,835.0,12.5,6.3,2.2,0.8,0.5,0.546,0.053,0.784,78.5,0.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Stephon Marbury,846.0,19.3,3.0,7.6,1.2,0.1,0.433,0.325,0.784,77.5,0.117,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,No
Deron Williams,845.0,16.3,3.1,8.1,1.0,0.2,0.445,0.357,0.822,77.3,0.129,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,No
Lamar Odom,961.0,13.3,8.4,3.7,0.9,0.9,0.463,0.312,0.693,77.0,0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Brad Miller,868.0,11.2,7.1,2.8,0.7,0.7,0.48,0.33,0.804,76.5,0.15,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
David Lee,829.0,13.5,8.8,2.2,0.8,0.4,0.535,0.034,0.772,76.0,0.15,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,No
Shane Battier,977.0,8.6,4.2,1.8,1.0,0.9,0.437,0.384,0.743,75.7,0.121,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,No
Rolando Blackman,980.0,18.0,3.3,3.0,0.7,0.3,0.493,0.343,0.84,75.6,0.113,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Kiki Vandeweghe,810.0,19.7,3.4,2.1,0.6,0.3,0.525,0.368,0.872,75.6,0.148,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Andrei Kirilenko,797.0,11.8,5.5,2.7,1.4,1.8,0.474,0.31,0.754,75.4,0.151,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,No
Byron Scott,1073.0,14.1,2.8,2.5,1.1,0.3,0.482,0.37,0.833,75.2,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
