Name,G,PTS,TRB,AST,STL,BLK,FG_PCT,3P_PCT,FT_PCT,WS,WS_PerMin,TotalAllStar,FirstAllD,SecondAllD,TotalAllD,FirstAllNBA,SecondAllNBA,ThirdAllNBA,TotalAllNBA,HoF
Amar'e Stoudemire,846.0,18.9,7.8,1.2,0.8,1.2,0.537,0.236,0.761,92.5,0.169,6.0,0.0,0.0,0.0,1.0,4.0,0.0,5.0,Yes
Carmelo Anthony,1260.0,22.5,6.2,2.7,1.0,0.5,0.447,0.355,0.814,108.5,0.12,10.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,Yes
Dwight Howard,1242.0,15.7,11.8,1.3,0.9,1.8,0.587,0.214,0.567,141.7,0.172,8.0,4.0,1.0,5.0,5.0,1.0,2.0,8.0,Yes
Dick Barnett,971.0,15.8,2.9,2.8,0.2,0.0,0.456,0.0,0.761,68.7,0.114,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
Chauncey Billups,1043.0,15.2,2.9,5.4,1.0,0.2,0.415,0.387,0.894,120.8,0.176,5.0,0.0,2.0,2.0,0.0,1.0,2.0,3.0,Yes
Vince Carter,1541.0,16.7,4.3,3.1,1.0,0.6,0.435,0.371,0.798,125.3,0.13,8.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,Yes
Michael Cooper,873.0,8.9,3.2,4.2,1.2,0.6,0.469,0.0,0.833,52.5,0.107,0.0,5.0,3.0,8.0,0.0,0.0,0.0,0.0,Yes
Walter Davis,1033.0,18.9,3.0,3.8,1.2,0.1,0.511,0.0,0.851,76.9,0.128,6.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,Yes
Pau Gasol,1226.0,17.0,9.2,3.2,0.5,1.6,0.507,0.368,0.753,144.1,0.169,6.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,Yes
Dirk Nowitzki,1522.0,20.7,7.5,2.4,0.8,0.8,0.471,0.38,0.879,206.3,0.193,14.0,0.0,0.0,0.0,4.0,5.0,3.0,12.0,Yes
Tony Parker,1254.0,15.5,2.7,5.6,0.8,0.1,0.491,0.324,0.751,111.3,0.14,6.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,Yes
Dwyane Wade,1054.0,22.0,4.7,5.4,1.5,0.8,0.48,0.293,0.765,120.7,0.162,13.0,0.0,3.0,3.0,2.0,3.0,3.0,8.0,Yes
Manu Ginobili,1057.0,13.3,3.5,3.8,1.3,0.3,0.447,0.369,0.827,106.4,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
Tim Hardaway,867.0,17.7,3.3,8.2,1.6,0.1,0.431,0.355,0.782,85.0,0.133,5.0,0.0,0.0,0.0,1.0,3.0,1.0,5.0,Yes
Lou Hudson,890.0,20.2,4.4,2.7,1.4,0.3,0.489,0.0,0.797,81.0,0.131,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Yes
Chris Bosh,893.0,19.2,8.5,2.0,0.8,1.0,0.494,0.335,0.799,106.0,0.159,11.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Yes
Bob Dandridge,839.0,18.5,6.8,3.4,1.3,0.6,0.484,0.0,0.78,80.3,0.131,4.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,Yes
Toni Kukoc,846.0,11.6,4.2,3.7,1.0,0.3,0.447,0.335,0.729,59.6,0.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
Paul Pierce,1343.0,19.7,5.6,3.5,1.3,0.6,0.445,0.368,0.806,150.0,0.157,10.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,Yes
Ben Wallace,1088.0,5.7,9.6,1.3,1.3,2.0,0.474,0.137,0.414,93.5,0.14,4.0,5.0,1.0,6.0,0.0,3.0,2.0,5.0,Yes
Chris Webber,831.0,20.7,9.8,4.2,1.4,1.4,0.479,0.299,0.649,84.7,0.132,5.0,0.0,0.0,0.0,1.0,3.0,1.0,5.0,Yes
Kobe Bryant,1346.0,25.0,5.2,4.7,1.4,0.5,0.447,0.329,0.837,172.7,0.17,18.0,9.0,3.0,12.0,11.0,2.0,2.0,15.0,Yes
Tim Duncan,1392.0,19.0,10.8,3.0,0.7,2.2,0.506,0.179,0.696,206.4,0.209,15.0,8.0,7.0,15.0,10.0,3.0,2.0,15.0,Yes
Kevin Garnett,1462.0,17.8,10.0,3.7,1.3,1.4,0.497,0.275,0.789,191.4,0.182,15.0,9.0,3.0,12.0,4.0,3.0,2.0,9.0,Yes
Carl Braun,788.0,13.5,3.4,3.7,0.0,0.0,0.383,0.0,0.804,64.3,0.119,5.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,Yes
Charles “Chuck”,409.0,6.7,5.9,1.8,0.0,0.0,0.339,0.0,0.743,11.6,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
Vlade Divac,1134.0,11.8,8.2,3.1,1.1,1.4,0.495,0.235,0.692,96.4,0.137,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
Bobby Jones,941.0,12.1,6.1,2.7,1.5,1.4,0.56,0.0,0.766,94.1,0.175,5.0,10.0,1.0,11.0,0.0,1.0,0.0,1.0,Yes
Sidney Moncrief,767.0,15.6,4.7,3.6,1.2,0.3,0.502,0.284,0.831,90.3,0.187,5.0,4.0,1.0,5.0,1.0,4.0,0.0,5.0,Yes
Jack Sikma,1107.0,15.6,9.8,3.2,1.0,0.9,0.464,0.0,0.849,112.5,0.146,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Yes
Paul Westphal,823.0,15.6,1.9,4.4,1.3,0.3,0.504,0.0,0.82,67.7,0.155,5.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,Yes
Ray Allen,1300.0,18.9,4.1,3.4,1.1,0.2,0.452,0.4,0.894,145.1,0.15,10.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,Yes
Maurice Cheeks,1101.0,11.1,2.8,6.7,2.1,0.3,0.523,0.0,0.793,103.5,0.143,4.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,Yes
Grant Hill,1026.0,16.7,6.0,4.1,1.2,0.6,0.483,0.314,0.769,99.9,0.138,7.0,0.0,0.0,0.0,1.0,4.0,0.0,5.0,Yes
Jason Kidd,1391.0,12.6,6.3,8.7,1.9,0.3,0.4,0.349,0.785,138.6,0.133,10.0,4.0,5.0,9.0,5.0,1.0,0.0,6.0,Yes
Steve Nash,1217.0,14.3,3.0,8.5,0.7,0.1,0.49,0.428,0.904,129.7,0.164,8.0,0.0,0.0,0.0,3.0,2.0,2.0,7.0,Yes
Dino Radja,224.0,16.7,8.4,1.6,0.9,1.3,0.497,0.0,0.735,14.3,0.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
Charlie Scott,717.0,20.7,4.0,4.9,1.3,0.3,0.448,0.0,0.773,41.4,0.078,5.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,Yes
George McGinnis,842.0,20.2,11.0,3.7,1.9,0.5,0.458,0.0,0.664,74.6,0.127,6.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0,Yes
Tracy McGrady,938.0,19.6,5.6,4.4,1.2,0.9,0.435,0.338,0.746,97.3,0.152,7.0,0.0,0.0,0.0,2.0,3.0,2.0,7.0,Yes
Zelmo Beaty,889.0,17.1,10.9,1.5,0.7,0.8,0.494,0.0,0.771,106.0,0.171,5.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,Yes
Allen Iverson,914.0,26.7,3.7,6.2,2.2,0.2,0.425,0.313,0.78,99.0,0.126,11.0,0.0,0.0,0.0,3.0,3.0,1.0,7.0,Yes
Yao Ming,486.0,19.0,9.2,1.6,0.4,1.9,0.524,0.2,0.833,65.9,0.2,8.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,Yes
Shaquille O'Neal,1207.0,23.7,10.9,2.5,0.6,2.3,0.582,0.045,0.527,181.7,0.208,15.0,0.0,3.0,3.0,8.0,2.0,4.0,14.0,Yes
Louie Dampier,960.0,15.9,2.6,4.9,0.9,0.3,0.444,0.0,0.82,74.1,0.11,7.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,Yes
Spencer Haywood,844.0,20.3,10.3,1.8,0.7,1.2,0.469,0.0,0.796,78.5,0.128,5.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0,Yes
Dikembe Mutombo,1196.0,9.8,10.3,1.0,0.4,2.8,0.518,0.0,0.684,117.0,0.153,8.0,3.0,3.0,6.0,0.0,1.0,2.0,3.0,Yes
Jo Jo,837.0,17.2,4.0,4.9,1.3,0.2,0.444,0.0,0.834,54.0,0.087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
Nathaniel Clifton,544.0,10.0,8.2,2.5,0.0,0.0,0.361,0.0,0.633,15.0,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
Sarunas Marciulionis,363.0,12.8,2.3,2.2,1.3,0.1,0.505,0.369,0.768,20.0,0.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
Alonzo Mourning,838.0,17.1,8.5,1.1,0.5,2.8,0.527,0.247,0.692,89.7,0.166,7.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0,Yes
Mitch Richmond,976.0,21.0,3.9,3.5,1.2,0.3,0.455,0.388,0.85,79.3,0.111,6.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,Yes
Guy Rodgers,892.0,11.7,4.3,7.8,0.0,0.0,0.378,0.0,0.721,33.3,0.056,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
Roger Brown,605.0,17.4,6.2,3.8,0.8,0.5,0.469,0.321,0.791,65.2,0.146,4.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,Yes
Roger Brown,605.0,17.4,6.2,3.8,0.8,0.5,0.469,0.321,0.791,65.2,0.146,1.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,Yes
Richie Guerin,848.0,17.3,5.0,5.0,0.0,0.0,0.416,0.0,0.78,69.2,0.121,6.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,Yes
Bernard King,874.0,22.5,5.8,3.3,1.0,0.3,0.518,0.0,0.73,75.4,0.123,4.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,Yes
Gary Payton,1335.0,16.3,3.9,6.7,1.8,0.2,0.466,0.317,0.729,145.5,0.148,9.0,9.0,0.0,9.0,2.0,5.0,2.0,9.0,Yes
Mel Daniels,639.0,18.4,14.9,1.8,0.6,1.5,0.468,0.0,0.657,64.8,0.138,7.0,0.0,0.0,0.0,4.0,1.0,0.0,5.0,Yes
Reggie Miller,1389.0,18.2,3.0,3.0,1.1,0.2,0.471,0.395,0.888,174.4,0.176,5.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,Yes
Ralph Sampson,456.0,15.4,8.8,2.3,0.9,1.6,0.486,0.172,0.661,20.1,0.071,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Yes
Chet Walker,1032.0,18.2,7.1,2.1,0.7,0.1,0.47,0.0,0.796,117.4,0.168,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
Jamaal Wilkes,828.0,17.7,6.2,2.5,1.3,0.3,0.499,0.0,0.759,71.3,0.125,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,Yes
Artis Gilmore,1329.0,18.8,12.3,2.3,0.6,2.4,0.582,0.0,0.698,189.7,0.193,11.0,4.0,1.0,5.0,5.0,0.0,0.0,5.0,Yes
Chris Mullin,986.0,18.2,4.1,3.5,1.6,0.6,0.509,0.384,0.865,93.1,0.139,5.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,Yes
Dennis Rodman,911.0,7.3,13.1,1.8,0.7,0.6,0.521,0.231,0.584,89.8,0.15,2.0,7.0,1.0,8.0,0.0,0.0,2.0,2.0,Yes
Arvydas Sabonis,470.0,12.0,7.3,2.1,0.8,1.1,0.5,0.328,0.786,47.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
Dennis Johnson,1100.0,14.1,3.9,5.0,1.3,0.6,0.445,0.0,0.797,82.6,0.11,5.0,6.0,3.0,9.0,1.0,1.0,0.0,2.0,Yes
Gus Johnson,631.0,16.2,12.1,2.5,0.2,0.2,0.44,0.0,0.7,36.9,0.085,5.0,2.0,0.0,2.0,0.0,4.0,0.0,4.0,Yes
Karl Malone,1476.0,25.0,10.1,3.6,1.4,0.8,0.516,0.274,0.742,234.6,0.205,14.0,3.0,1.0,4.0,11.0,2.0,1.0,14.0,Yes
Scottie Pippen,1178.0,16.1,6.4,5.2,2.0,0.8,0.473,0.326,0.704,125.1,0.146,7.0,8.0,2.0,10.0,3.0,2.0,2.0,7.0,Yes
Michael Jordan,1072.0,30.1,6.2,5.3,2.3,0.8,0.497,0.327,0.835,214.0,0.25,14.0,9.0,0.0,9.0,10.0,1.0,0.0,11.0,Yes
David Robinson,987.0,21.1,10.6,2.5,1.4,3.0,0.518,0.25,0.736,178.7,0.25,10.0,4.0,4.0,8.0,4.0,2.0,4.0,10.0,Yes
John Stockton,1504.0,13.1,2.7,10.5,2.2,0.2,0.515,0.384,0.826,207.7,0.209,10.0,0.0,5.0,5.0,2.0,6.0,3.0,11.0,Yes
Adrian Dantley,955.0,24.3,5.7,3.0,1.0,0.2,0.54,0.0,0.818,134.2,0.189,6.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,Yes
Patrick Ewing,1183.0,21.0,9.8,1.9,1.0,2.4,0.504,0.152,0.74,126.4,0.15,11.0,0.0,3.0,3.0,1.0,6.0,0.0,7.0,Yes
Hakeem Olajuwon,1238.0,21.8,11.1,2.5,1.7,3.1,0.512,0.202,0.712,162.8,0.177,12.0,5.0,4.0,9.0,6.0,3.0,3.0,12.0,Yes
Charles Barkley,1073.0,22.1,11.7,3.9,1.5,0.8,0.541,0.266,0.735,177.2,0.216,11.0,0.0,0.0,0.0,5.0,5.0,1.0,11.0,Yes
Joe Dumars,1018.0,16.1,2.2,4.5,0.9,0.1,0.46,0.382,0.843,86.2,0.118,6.0,4.0,1.0,5.0,0.0,1.0,2.0,3.0,Yes
Dominique Wilkins,1074.0,24.8,6.7,2.5,1.3,0.6,0.461,0.319,0.811,117.5,0.148,9.0,0.0,0.0,0.0,1.0,4.0,2.0,7.0,Yes
Clyde Drexler,1086.0,20.4,6.1,5.6,2.0,0.7,0.472,0.318,0.788,135.6,0.173,10.0,0.0,0.0,0.0,1.0,2.0,2.0,5.0,Yes
Maurice Stokes,202.0,16.4,17.3,5.3,0.0,0.0,0.351,0.0,0.698,16.1,0.102,3.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,Yes
Robert Parish,1611.0,14.5,9.1,1.4,0.8,1.5,0.537,0.0,0.721,147.0,0.154,9.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,Yes
James Worthy,926.0,17.6,5.1,3.0,1.1,0.7,0.521,0.241,0.769,81.2,0.13,7.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,Yes
Magic Johnson,906.0,19.5,7.2,11.2,1.9,0.4,0.52,0.303,0.848,155.8,0.225,12.0,0.0,0.0,0.0,9.0,1.0,0.0,10.0,Yes
Drazen Petrovic,290.0,15.4,2.3,2.4,0.9,0.1,0.506,0.437,0.841,21.5,0.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
Moses Malone,1455.0,20.3,12.3,1.3,0.8,1.3,0.495,0.0,0.76,179.1,0.174,13.0,1.0,1.0,2.0,4.0,4.0,0.0,8.0,Yes
Bob McAdoo,852.0,22.1,9.4,2.3,1.0,1.6,0.503,0.0,0.754,89.1,0.151,5.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,Yes
Isiah Thomas,979.0,19.2,3.6,9.3,1.9,0.3,0.452,0.29,0.759,80.7,0.109,12.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0,Yes
Kevin McHale,971.0,17.9,7.3,1.7,0.4,1.7,0.554,0.261,0.798,113.0,0.18,7.0,3.0,3.0,6.0,1.0,0.0,0.0,1.0,Yes
Larry Bird,897.0,24.3,10.0,6.3,1.7,0.8,0.496,0.376,0.886,145.8,0.203,12.0,0.0,3.0,3.0,9.0,1.0,0.0,10.0,Yes
Arnie Risen,637.0,12.0,9.7,1.7,0.0,0.0,0.381,0.0,0.699,56.0,0.119,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Yes
Alex English,1193.0,21.5,5.5,3.6,0.9,0.7,0.507,0.0,0.832,100.7,0.127,8.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,Yes
Bailey Howell,950.0,18.7,9.9,2.0,0.0,0.0,0.48,0.0,0.762,114.8,0.18,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Yes
George Gervin,1060.0,25.1,5.3,2.6,1.2,1.0,0.504,0.0,0.841,116.3,0.157,12.0,0.0,0.0,0.0,5.0,4.0,0.0,9.0,Yes
Gail Goodrich,1031.0,18.6,3.2,4.7,1.3,0.2,0.456,0.0,0.807,76.3,0.109,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Yes
David Thompson,592.0,22.7,4.1,3.3,1.0,0.9,0.505,0.0,0.781,63.3,0.156,5.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,Yes
George Yardley,472.0,19.2,8.9,1.7,0.0,0.0,0.422,0.0,0.78,58.5,0.178,6.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,Yes
Kareem Abdul-Jabbar,1560.0,24.6,11.2,3.6,0.9,2.6,0.559,0.0,0.721,273.4,0.228,19.0,5.0,6.0,11.0,10.0,5.0,0.0,15.0,Yes
Vern Mikkelsen,699.0,14.4,9.4,2.2,0.0,0.0,0.403,0.0,0.766,83.4,0.17,6.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,Yes
Buddy Jeannette,139.0,7.2,0.0,2.1,0.0,0.0,0.341,0.0,0.781,15.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Yes
Walt Bellamy,1043.0,20.1,13.7,2.4,0.7,0.6,0.516,0.0,0.632,130.0,0.16,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
Julius Erving,1243.0,24.2,8.5,4.2,2.0,1.7,0.506,0.0,0.777,181.1,0.192,16.0,1.0,0.0,1.0,9.0,3.0,0.0,12.0,Yes
Dan Issel,1218.0,22.6,9.1,2.4,1.0,0.5,0.499,0.0,0.793,157.8,0.181,7.0,0.0,0.0,0.0,1.0,4.0,0.0,5.0,Yes
Dick McGuire,738.0,8.0,4.2,5.7,0.0,0.0,0.389,0.0,0.644,50.9,0.115,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Yes
Calvin Murphy,1002.0,17.9,2.1,4.4,1.5,0.1,0.482,0.0,0.892,84.1,0.132,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
Bill Walton,468.0,13.3,10.5,3.4,0.8,2.2,0.521,0.0,0.66,39.3,0.142,2.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0,Yes
Connie Hawkins,616.0,18.7,8.8,4.1,1.2,0.8,0.479,0.0,0.779,76.7,0.166,6.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,Yes
Bob Lanier,959.0,20.1,10.1,3.1,1.1,1.5,0.514,0.0,0.767,117.1,0.175,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
Tiny Archibald,876.0,18.8,2.3,7.4,1.1,0.1,0.467,0.0,0.81,83.4,0.128,6.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0,Yes
Dave Cowens,766.0,17.6,13.6,3.8,1.1,0.9,0.46,0.0,0.783,86.3,0.14,8.0,1.0,2.0,3.0,0.0,3.0,0.0,3.0,Yes
Harry Gallatin,682.0,13.0,11.9,1.8,0.0,0.0,0.398,0.0,0.773,78.4,0.182,7.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,Yes
Dave Bing,901.0,20.3,3.8,6.0,1.3,0.2,0.441,0.0,0.775,68.8,0.101,7.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,Yes
Elvin Hayes,1303.0,21.0,12.5,1.8,1.0,2.0,0.452,0.0,0.67,120.8,0.116,12.0,0.0,2.0,2.0,3.0,3.0,0.0,6.0,Yes
Neil Johnston,516.0,19.4,11.3,2.5,0.0,0.0,0.444,0.0,0.768,92.0,0.241,6.0,0.0,0.0,0.0,4.0,1.0,0.0,5.0,Yes
Earl Monroe,926.0,18.8,3.0,3.9,1.0,0.3,0.464,0.0,0.807,77.4,0.125,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Yes
K.C. Jones,676.0,7.4,3.5,4.3,0.0,0.0,0.387,0.0,0.647,38.6,0.106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
Lenny Wilkens,1077.0,16.5,4.7,6.7,1.6,0.2,0.432,0.0,0.774,95.5,0.12,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
Clyde Lovellette,704.0,17.0,9.5,1.6,0.0,0.0,0.443,0.0,0.757,70.6,0.178,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Yes
Wes Unseld,984.0,10.8,14.0,3.9,1.1,0.6,0.509,0.0,0.633,110.1,0.147,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Yes
Rick Barry,1020.0,24.8,6.7,4.9,2.0,0.5,0.456,0.0,0.893,128.9,0.162,12.0,0.0,0.0,0.0,9.0,1.0,0.0,10.0,Yes
Walt Frazier,825.0,18.9,5.9,6.1,1.9,0.2,0.49,0.0,0.786,113.5,0.176,7.0,7.0,0.0,7.0,4.0,2.0,0.0,6.0,Yes
Bob Houbregs,281.0,9.3,5.5,1.8,0.0,0.0,0.404,0.0,0.721,16.5,0.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
Pete Maravich,658.0,24.2,4.2,5.4,1.4,0.3,0.441,0.0,0.82,46.7,0.092,5.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,Yes
Bobby Wanzer,569.0,12.2,4.5,3.2,0.0,0.0,0.393,0.0,0.802,63.9,0.156,5.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,Yes
Billy Cunningham,770.0,21.2,10.4,4.3,1.8,0.6,0.452,0.0,0.73,78.6,0.141,5.0,0.0,0.0,0.0,4.0,1.0,0.0,5.0,Yes
Tom Heinsohn,654.0,18.6,8.8,2.0,0.0,0.0,0.405,0.0,0.79,60.0,0.15,6.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,Yes
Al Cervi,202.0,7.9,1.8,3.2,0.0,0.0,0.359,0.0,0.839,21.9,0.308,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Yes
Nate Thurmond,964.0,15.0,15.0,2.7,0.5,2.1,0.421,0.0,0.667,78.0,0.104,7.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,Yes
John Havlicek,1270.0,20.8,6.3,4.8,1.2,0.3,0.439,0.0,0.815,131.7,0.136,13.0,5.0,3.0,8.0,4.0,7.0,0.0,11.0,Yes
Sam Jones,871.0,17.7,4.9,2.5,0.0,0.0,0.456,0.0,0.803,92.3,0.182,5.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,Yes
Bill Bradley,742.0,12.4,3.2,3.4,0.7,0.2,0.448,0.0,0.84,38.8,0.082,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
Dave DeBusschere,875.0,16.1,11.0,2.9,0.9,0.5,0.432,0.0,0.699,60.8,0.093,8.0,6.0,0.0,6.0,0.0,1.0,0.0,1.0,Yes
Jack Twyman,823.0,19.2,6.6,2.3,0.0,0.0,0.45,0.0,0.778,75.0,0.138,6.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,Yes
Hal Greer,1122.0,19.2,5.0,4.0,0.0,0.0,0.452,0.0,0.801,102.7,0.124,10.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,Yes
Slater Martin,745.0,9.8,3.4,4.2,0.0,0.0,0.364,0.0,0.762,47.5,0.087,7.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,Yes
Frank Ramsey,623.0,13.4,5.5,1.8,0.0,0.0,0.399,0.0,0.804,49.2,0.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
Willis Reed,650.0,18.7,12.9,1.8,0.6,1.1,0.476,0.0,0.747,74.9,0.156,7.0,1.0,0.0,1.0,1.0,4.0,0.0,5.0,Yes
Jerry Lucas,829.0,17.0,15.6,3.3,0.4,0.3,0.499,0.0,0.783,98.4,0.147,7.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0,Yes
Oscar Robertson,1040.0,25.7,7.5,9.5,1.1,0.1,0.485,0.0,0.838,189.2,0.207,12.0,0.0,0.0,0.0,9.0,2.0,0.0,11.0,Yes
Jerry West,932.0,27.0,5.8,6.7,2.6,0.7,0.474,0.0,0.814,162.6,0.213,14.0,4.0,1.0,5.0,10.0,2.0,0.0,12.0,Yes
Wilt Chamberlain,1045.0,30.1,22.9,4.4,0.0,5.4,0.54,0.0,0.511,247.3,0.248,13.0,2.0,0.0,2.0,7.0,3.0,0.0,10.0,Yes
Paul Arizin,713.0,22.8,8.6,2.3,0.0,0.0,0.421,0.0,0.81,108.8,0.183,10.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,Yes
Joe Fulks,489.0,16.4,5.3,1.2,0.0,0.0,0.302,0.0,0.766,29.2,-0.045,2.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,Yes
Cliff Hagan,839.0,17.7,6.6,3.2,0.0,0.0,0.454,0.0,0.799,85.3,0.17,6.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,Yes
Jim Pollard,438.0,13.2,7.8,3.2,0.0,0.0,0.36,0.0,0.75,34.9,0.093,4.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,Yes
